state_ut,year,min_pm25,max_pm25,avg_pm25
A&N Islands,1998,8.040693220870047,15.35829796626317,12.528077893569003
A&N Islands,1999,8.096007553594024,13.70940576991005,11.556489572892104
A&N Islands,2000,10.886307870262955,18.429713150996605,15.20494100895487
A&N Islands,2001,12.072539538760402,21.662428306041505,18.12401408907616
A&N Islands,2002,10.8459799698816,21.215171878571024,17.951739750999575
A&N Islands,2003,11.529285350022237,18.671734344221207,16.734486114270375
A&N Islands,2004,12.930391044040263,21.78762799274405,19.797846182951652
A&N Islands,2005,12.358371206890103,23.627152982846734,19.81082256935608
A&N Islands,2006,12.589341921006142,21.55708277266236,19.531548910323732
A&N Islands,2007,13.361317901291685,22.52490533237046,20.104482884296928
A&N Islands,2008,13.236854497945108,23.03413752811629,21.152088999262343
A&N Islands,2009,11.569460207283596,22.65582231272215,19.912051720485458
A&N Islands,2010,11.071311192193468,21.38723725267089,18.909181021826534
A&N Islands,2011,13.194901983302495,22.70259246105313,21.11947459789142
A&N Islands,2012,11.4180081402248,22.44952094637368,20.87566711302051
A&N Islands,2013,11.340096483579252,20.751997750266867,18.482224021083713
A&N Islands,2014,12.713678559172712,23.283307349004723,21.05763596353466
A&N Islands,2015,11.439831382464789,18.029664886555615,16.766586545819454
A&N Islands,2016,13.155755940456167,22.39137815771936,21.09206348314653
A&N Islands,2017,10.623579981663742,18.960981266759056,17.831455652245364
A&N Islands,2018,12.642946729614994,22.96756209224757,21.52212039644155
A&N Islands,2019,14.266158203324805,26.037713409292177,23.379455595892793
A&N Islands,2020,12.58841010626004,22.535571551977917,21.3528300680275
A&N Islands,2021,10.60196216536543,17.71732109565323,16.89326862325835
A&N Islands,2022,10.810587541900768,19.926011293970586,18.69590663339773
AP & Telangana,1998,10.61920773383831,29.771291074277222,17.160325433118558
AP & Telangana,1999,12.072525901385507,25.231235096879136,19.170049070803245
AP & Telangana,2000,13.200911111335722,27.26342321597568,20.66311690411157
AP & Telangana,2001,16.136840337480255,33.78381732909823,23.61246080429146
